job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details
Data Analyst - MIS - BFSI (5-6 yrs),Arin Consultancy Pvt. Ltd.,5-6 Yrs,5,6,3.6-13.3L/yr,360000.0,1330000.0,Mumbai,60,iimjobs,3.0,1,"Data Analytics, Analytics, MIS"
Data Analyst - SQL/ETL (2-4 yrs),D Square Consulting Services Pvt Ltd,2-4 Yrs,2,4,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,60,hirist,1.0,1,"Data Analyst, Data Analytics, Data Quality"
HR Data Analyst - IT (2-4 yrs),D Square Consulting Services Pvt Ltd,2-4 Yrs,2,4,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,60,iimjobs,1.0,1,"Data Analytics, HR Analytics, Analytics"
Data Analyst - Online/Internet (1-3 yrs),Meyrahkee Advisors Private Limited,1-3 Yrs,1,3,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,60,iimjobs,3.9,30,"SQL, Data Analytics, Data Modeling"
Data Analysts,Pratyaksh Medical Care,1-2 Yrs,1,2,3.6-13.3L/yr,360000.0,1330000.0,Noida,60,Naukri,3.9,30,"SPSS, data science, WinCross"
Data Analyst,Rehoboth Academic Services,2-7 Yrs,2,7,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,1095,Naukri,2.1,5,"MS Office, Content writing, SEM"
Data Analyst,DeetsDigital Pvt. Ltd.,1-4 Yrs,1,4,3.6-13.3L/yr,360000.0,1330000.0,Remote,270,Naukri,2.2,4,"Python, Statistical programming, Programming"
Data Analyst,Recruitment Smart Technologies India Private Limited,4-8 Yrs,4,8,3.6-13.3L/yr,360000.0,1330000.0,Ahmedabad,365,Naukri,1.9,6,"R Programming, power bi, MIS"
Data Analyst,Recruitment Smart Technologies India Private Limited,4-10 Yrs,4,10,3.6-13.3L/yr,360000.0,1330000.0,Ahmedabad,365,Naukri,1.9,6,"Manager Quality Control, MIS, SQL"
Data Scientist - Machine Learning/Predictive Modeling (5-10 yrs),East 57th Street Partners,5-10 Yrs,5,10,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,60,hirist,3.9,30,"Data Science, Data Scientist, Machine Learning"
Technical Data Analyst,"Vyrian, Inc",5-10 Yrs,5,10,3.6-13.3L/yr,360000.0,1330000.0,Indore,730,Naukri,2.5,2,"Sql, Data Analysis, Python"
IT Vacancy in Delhi- Data Analyst,RIGHT STEP CONSULTING PRIVATE LIMITED,2-6 Yrs,2,6,3.6-13.3L/yr,360000.0,1330000.0,New Delhi,1460,Naukri,3.0,1,"Software services, data visualization, Software"
Data Analyst / Business Analyst,RIGHT STEP CONSULTING PRIVATE LIMITED,2-3 Yrs,2,3,3.6-13.3L/yr,360000.0,1330000.0,Gurgaon / Gurugram,2555,Naukri,3.0,1,"Data Analyst, MS Office, SQL"
Data Analyst,RIGHT STEP CONSULTING PRIVATE LIMITED,2-5 Yrs,2,5,3.6-13.3L/yr,360000.0,1330000.0,Gurgaon/Gurugram,2555,Naukri,3.0,1,"Data Analyst, CRM, ERP"
Back office coordinator(Female),RIGHT STEP CONSULTING PRIVATE LIMITED,1-3 Yrs,1,3,3.6-13.3L/yr,360000.0,1330000.0,Noida,2555,Naukri,3.0,1,"Analytics, Business intelligence, Back Office Coordinator"
IT Vacancy in Delhi- Data Analyst,RIGHT STEP CONSULTING PRIVATE LIMITED,2-6 Yrs,2,6,3.6-13.3L/yr,360000.0,1330000.0,New Delhi,1460,Naukri,3.0,1,"Software services, data visualization, Software"
Data Analyst / Business Analyst,RIGHT STEP CONSULTING PRIVATE LIMITED,2-3 Yrs,2,3,3.6-13.3L/yr,360000.0,1330000.0,Gurgaon / Gurugram,2555,Naukri,3.0,1,"Data Analyst, MS Office, SQL"
Data Analyst,RIGHT STEP CONSULTING PRIVATE LIMITED,2-5 Yrs,2,5,3.6-13.3L/yr,360000.0,1330000.0,Gurgaon/Gurugram,2555,Naukri,3.0,1,"Data Analyst, CRM, ERP"
Back office coordinator(Female),RIGHT STEP CONSULTING PRIVATE LIMITED,1-3 Yrs,1,3,3.6-13.3L/yr,360000.0,1330000.0,Noida,2555,Naukri,3.0,1,"Analytics, Business intelligence, Back Office Coordinator"
SR. Analyst,RIGHT STEP CONSULTING PRIVATE LIMITED,4-6 Yrs,4,6,3.6-13.3L/yr,360000.0,1330000.0,"New Delhi, Gurgaon / Gurugram",2555,Naukri,3.0,1,"Senior Data Analyst, Software services, Hoovers"
Team Leader,RIGHT STEP CONSULTING PRIVATE LIMITED,1-5 Yrs,1,5,3.6-13.3L/yr,360000.0,1330000.0,"New Delhi, Gurgaon/Gurugram",2555,Naukri,3.0,1,"Pharma, Clinical research, Pharmacy"
Digital Analyst - Tag Management System (3-5 yrs),RapidBraiins,3-5 Yrs,3,5,3.6-13.3L/yr,360000.0,1330000.0,"Mumbai, Bangalore / Bengaluru",60,hirist,3.9,30,"Data Analyst, Data Analytics, Google Tag Manager"
Data Analyst,iProPal (ALLPS),1-3 Yrs,1,3,3.6-13.3L/yr,360000.0,1330000.0,"Chennai, Pune, New Delhi",60,Naukri,3.9,30,"Data analysis, Machine learning, Artificial Intelligence"
Data Analyst Intern,TechKnowledgeHub.org,0-3 Yrs,0,3,3.6-13.3L/yr,360000.0,1330000.0,Remote,60,Naukri,3.9,30,"Data analysis, data science, Intern"
Data Analysts / HTML Editor,i-Tech Infonet Pvt Ltd,0-2 Yrs,0,2,3.6-13.3L/yr,360000.0,1330000.0,Rajkot,365,Naukri,1.7,3,"HTML, XML, PDF"
DataSlush - Senior Analytics Implementation Engineer (2-5 yrs),IT Company,2-5 Yrs,2,5,3.6-13.3L/yr,360000.0,1330000.0,Ahmedabad,60,hirist,3.9,30,"Data Analyst, Data Analytics, Reporting Analytics"
Data Analyst - SQL/Python/R (7-9 yrs),Meved Solutions,7-9 Yrs,7,9,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,60,hirist,1.0,1,"Data Analyst, Data Analytics, SQL"
Data Analyst - Predictive Modeling (3-5 yrs),goZeal,2-5 Yrs,2,5,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,60,hirist,3.9,30,Data Analyst
Senior Data Analyst,Tacnique,5-10 Yrs,5,10,3.6-13.3L/yr,360000.0,1330000.0,Remote,180,Naukri,2.0,1,"SQL, Javascript, Automation"
60,hirist,2-5 Yrs,2,5,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,30,Naukri,3.9,30,Data Analyst
DATA ANALYST INTERN,VR Careerz,0-1 Yrs,0,1,3.6-13.3L/yr,360000.0,1330000.0,Chennai,150,Naukri,1.7,2,"Intern, Data analysis, SQL"
DATA ANALYST,VR Careerz,0-1 Yrs,0,1,3.6-13.3L/yr,360000.0,1330000.0,Chennai,150,Naukri,1.7,2,"Data analysis, SQL, SAS"
Data Analyst - Power BI (6-8 yrs),CloudHire,6-8 Yrs,6,8,3.6-13.3L/yr,360000.0,1330000.0,"Bangalore / Bengaluru, Hyderabad / Secunderabad",60,hirist,3.9,30,"Data Analyst, Data Analytics, Data Profiling"
Senior Data Analyst - Analytics Dashboards & Reporting Tools (5-10 yrs),Dashhire,5-10 Yrs,5,10,3.6-13.3L/yr,360000.0,1330000.0,Jaipur,60,hirist,3.9,30,"SQL, Data Analytics, T-SQL"
Business Intelligence Developer - QlikSense & Qlikview (3-5 yrs),r3 Consultant,3-5 Yrs,3,5,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,60,hirist,3.9,30,"Business Intelligence, QlikSense, Qlikview"
